source_id,cab,name,recovery_products,files
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,Avatar_Female_Size02_Remielle_Origin_Default_Ani_UI_Detail,scalar-full-source,1
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,acl-database-bulk,scalar-full-source,2
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,native-object,scalar-full-source,2
1186972585,CAB-bf111adf0be9e1a866f4509d03f887f2,streaming-info,scalar-full-source,2
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,-1507456339828849665,highest-quality,1
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,-3244033172409104278,highest-quality,1
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Shy_End,scalar-full-source,1
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Shy_End,scalar-full-source,1
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,acl-database-bulk,scalar-full-source,2
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,native-object,scalar-full-source,2
1186972585,CAB-d006774c3d8ee56af752784bb4bb810b,streaming-info,scalar-full-source,2
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,-992807101245387548,highest-quality,1
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,2788974981811062752,highest-quality,1
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,Avatar_Female_Size02_Remielle_Origin_Ani_Gal_Surprise_End,scalar-full-source,1
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,Avatar_Female_Size02_Remielle_Origin_Default_Ani_Gal_Surprise_End,scalar-full-source,1
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,acl-database-bulk,scalar-full-source,2
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,native-object,scalar-full-source,2
1186972585,CAB-e89fce5b362afe40ee71e40798b09205,streaming-info,scalar-full-source,2
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,-5491137950491540181,highest-quality,1
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,3905988045497503854,highest-quality,1
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,Avatar_Female_Size02_Remielle_Origin_Ani_UI_S2toD,scalar-full-source,1
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,Avatar_Female_Size02_Remielle_Origin_Default_Ani_UI_S2toD,scalar-full-source,1
1186972585,CAB-f9e136273b9f4bdce72935ed724fcb43,acl-database-bulk,scalar-full-source,2
